wholesaler_name (도매상명),biz_type (업종명),wholesaler_addr_road (도매도로명주소),wholesaler_addr_jibun (도매지번주소),wholesaler_tel (도매전화),lat (위도),lon (경도),business_status (영업상태),as_of_date (기준일자),provider_org_code (제공기관코드),provider_org_name (제공기관명),has_transport_vehicle,has_storage_facility,supervising_agency,active_flag (활성여부),is_valid_wholesaler (유효도매여부),wholesaler_id (도매상ID),source_file (원천파일),source_sheet (원천시트),source_row_id (원천행ID)
약산당한약품,한약도매,"경상남도 창원시 마산회원구 석전동6길 6, 약산당한약품 1층 (석전동)",경상남도 창원시 마산회원구 석전동 248-10,,35.23126392,128.57583,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00068,3. 전국의약품도매업소표준데이터.csv,,68
산들초한약품,한약도매,경상남도 창원시 마산회원구 석전동6길 6 (석전동),경상남도 창원시 마산회원구 석전동 248-10,,35.23126392,128.575831,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00069,3. 전국의약품도매업소표준데이터.csv,,69
명성약품,일반종합도매,"경상남도 창원시 마산회원구 석전동6길 37, 지상2층 202호 (석전동)",경상남도 창원시 마산회원구 석전동 258-7,,35.22996465,128.5750931,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00070,3. 전국의약품도매업소표준데이터.csv,,70
(주)대원투팜,일반종합도매,경상남도 창원시 마산회원구 삼호로 269-1 (회성동),,,35.23214386,128.5651517,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00071,3. 전국의약품도매업소표준데이터.csv,,71
㈜경남지오영,일반종합도매,경상남도 창원시 마산회원구 내서읍 호원로 411,,,35.26798306,128.5296114,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00072,3. 전국의약품도매업소표준데이터.csv,,72
(주)보람약품,일반종합도매,경상남도 창원시 마산회원구 내서읍 호원로 385,경상남도 창원시 마산회원구 내서읍 호계리 13-2,,35.26677122,128.5274318,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00073,3. 전국의약품도매업소표준데이터.csv,,73
누리허브,한약도매,"경상남도 창원시 마산회원구 내서읍 중리상곡로 20, 204호 (백로아파트)",경상남도 창원시 마산회원구 내서읍 중리 1054,,35.24351122,128.5051116,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00074,3. 전국의약품도매업소표준데이터.csv,,74
에이팜,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리상곡로 134,경상남도 창원시 마산회원구 내서읍 중리 1036,,35.25155229,128.5116096,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00075,3. 전국의약품도매업소표준데이터.csv,,75
(주)복산나이스 경남지점,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 211,,,35.24825282,128.5164807,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00076,3. 전국의약품도매업소표준데이터.csv,,76
동아에스티(주)창원지점,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 187,경상남도 창원시 마산회원구 내서읍 중리 1119-14,,35.24694663,128.5141576,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00077,3. 전국의약품도매업소표준데이터.csv,,77
(주)디아이팜,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 105 (공단편의점),경상남도 창원시 마산회원구 내서읍 중리 1127-10,,35.24074932,128.5092107,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00078,3. 전국의약품도매업소표준데이터.csv,,78
동경약품,일반종합도매,"경상남도 창원시 마산회원구 내서읍 중리1길 103, 진한빌딩 지상6층",경상남도 창원시 마산회원구 내서읍 중리 1033,,35.24991856,128.5099682,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00079,3. 전국의약품도매업소표준데이터.csv,,79
린데코리아주식회사,의료용고압가스,"경상남도 창원시 성산구 삼동로 100-31, 프렉스에어코리아(주) (내동)","경상남도 창원시 성산구 내동 452-6, 프렉스에어코리아(주) (내동)",,35.22294917,128.6564973,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00080,3. 전국의약품도매업소표준데이터.csv,,80
스마트팜,일반종합도매,"경상남도 창원시 성산구 단정로 12, 쌍둥이빌딩 602호 (상남동)",경상남도 창원시 성산구 상남동 34-3,,35.22046549,128.6818388,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00081,3. 전국의약품도매업소표준데이터.csv,,81
봉수당건재한약품,한약도매,경상남도 창원시 마산회원구 회원북21길 42 (회원동),,,35.22049264,128.5663035,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00082,3. 전국의약품도매업소표준데이터.csv,,82
(주)대명메디컬,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 지상3층 312호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00083,3. 전국의약품도매업소표준데이터.csv,,83
장수약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 지상3층 303호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00084,3. 전국의약품도매업소표준데이터.csv,,84
(주)일성약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 메디로직스 3층 310호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00085,3. 전국의약품도매업소표준데이터.csv,,85
명지약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 306호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00086,3. 전국의약품도매업소표준데이터.csv,,86
도경약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 302호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00087,3. 전국의약품도매업소표준데이터.csv,,87
한성약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 301호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00088,3. 전국의약품도매업소표준데이터.csv,,88
이산메디케어,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 308호 (회성동)","경상남도 창원시 마산회원구 회성동 129-3, 308호 (회성동)",,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,N,마산보건소,True,False,W00089,3. 전국의약품도매업소표준데이터.csv,,89
메디로직스,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 1,2층 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,,35.23199703,128.556838,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,마산보건소,True,False,W00090,3. 전국의약품도매업소표준데이터.csv,,90
