case_id,ship_id (출고ID),year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),gap_amount (갭금액),coverage_ratio (커버리지비율),trace_status (추적상태),trace_reason (추적사유),created_from (생성소스)
TRC_decf2001d2cf,S00000845,2025-Q2,T08,플라빅스정,6922906.63,0.7836,Unverified,low_coverage,tracking_validation
TRC_99eb5145a773,S00000848,2025-Q3,T07,가브스정,77646.57,0.7837,Unverified,low_coverage,tracking_validation
TRC_11d0a7881f18,S00000849,2025-Q4,T07,글루코파지정,81410.4,0.7843,Unverified,low_coverage,tracking_validation
TRC_b2eafb733de4,S00000857,2025-Q1,T08,타미플루캡슐,3794119.32,0.7941,Unverified,low_coverage,tracking_validation
TRC_a1ce7b11d140,S00000895,2025-Q1,T01,디아미크롱서방정,173471.16,0.7972,Unverified,low_coverage,tracking_validation
TRC_5c95710121f6,S00000904,2025-Q4,T05,리피토정,1425449.03,0.7738,Unverified,low_coverage,tracking_validation
TRC_abcd6e1cb30a,S00000906,2025-Q1,T04,트라젠타정,915537.12,0.7842,Unverified,low_coverage,tracking_validation
TRC_6131d742490e,S00000915,2025-Q2,T05,디아미크롱서방정,292778.41,0.7764,Unverified,low_coverage,tracking_validation
TRC_f9c71acbd9d1,S00000925,2025-Q4,T06,플라빅스정,5323372.46,0.7779,Unverified,low_coverage,tracking_validation
TRC_4ad950feeaac,S00000926,2025-Q4,T09,트라젠타정,82388.86,0.795,Unverified,low_coverage,tracking_validation
TRC_c4632f7b2963,S00000928,2025-Q1,T07,가브스정,9773148.05,0.7895,Unverified,low_coverage,tracking_validation
TRC_9961a7f36ef5,S00000933,2025-Q2,T10,카나브정,1834991.8,0.7812,Unverified,low_coverage,tracking_validation
TRC_81e0e06c076a,S00000937,2025-Q3,T04,타미플루캡슐,139322.58,0.7794,Unverified,low_coverage,tracking_validation
TRC_92c0c3d39074,S00000949,2025-Q2,T03,글루코파지정,1780679.05,0.7752,Unverified,low_coverage,tracking_validation
TRC_e8182a81a714,S00000953,2025-Q1,T10,카나브정,189688.45,0.7827,Unverified,low_coverage,tracking_validation
TRC_e1edb323851e,S00000955,2025-Q3,T08,디아미크롱서방정,143074.07,0.7819,Unverified,low_coverage,tracking_validation
TRC_b848c282a707,S00000990,2025-Q2,T05,로수젯정,3061418.52,0.7919,Unverified,low_coverage,tracking_validation
TRC_149f13494784,S00000994,2025-Q4,T02,올메텍정,406296.08,0.789,Unverified,low_coverage,tracking_validation
TRC_e463cf226e05,S00001006,2025-Q1,T05,트라젠타정,357535.0,0.7887,Unverified,low_coverage,tracking_validation
TRC_f10c01da17f3,S00001009,2025-Q4,T03,글루코파지정,170109.86,0.7796,Unverified,low_coverage,tracking_validation
TRC_887ab497f2d0,S00001013,2025-Q3,T05,카나브정,736448.53,0.7981,Unverified,low_coverage,tracking_validation
TRC_8300f1fff5b6,S00001019,2025-Q2,T09,서스펜정,2156251.31,0.7916,Unverified,low_coverage,tracking_validation
TRC_608e01d4b29c,S00001038,2025-Q1,T06,세파클러캡슐,246498.63,0.7951,Unverified,low_coverage,tracking_validation
TRC_4aae19e67647,S00001039,2025-Q4,T07,서스펜정,247540.46,0.7925,Unverified,low_coverage,tracking_validation
TRC_71535933156c,S00001043,2025-Q3,T02,아모잘탄정,719007.75,0.7866,Unverified,low_coverage,tracking_validation
TRC_50098f04969b,S00001052,2025-Q4,T09,엑스포지정,488267.66,0.7877,Unverified,low_coverage,tracking_validation
TRC_65574d59cb9f,S00001061,2025-Q2,T05,록소르정,75845.68,0.7731,Unverified,low_coverage,tracking_validation
TRC_3ecc5df7e978,S00001063,2025-Q4,T01,아모잘탄정,565861.4,0.7705,Unverified,low_coverage,tracking_validation
TRC_25601ba82bbb,S00001071,2025-Q2,T04,아토젯정,768252.01,0.7984,Unverified,low_coverage,tracking_validation
TRC_303dc4b2828d,S00001102,2025-Q3,T01,자누비아정,14776630.13,0.7905,Unverified,low_coverage,tracking_validation
TRC_4270e1f983d4,S00001106,2025-Q3,T10,트라젠타정,504984.75,0.7849,Unverified,low_coverage,tracking_validation
TRC_e0c492202b9a,S00001108,2025-Q2,T08,가브스정,495654.85,0.7898,Unverified,low_coverage,tracking_validation
TRC_b04aee264b95,S00001117,2025-Q2,T07,타미플루캡슐,11130501.3,0.7767,Unverified,low_coverage,tracking_validation
TRC_e0e712a5d768,S00001128,2025-Q1,T02,가브스정,9185101.83,0.7818,Unverified,low_coverage,tracking_validation
TRC_e4af1ddf4bc1,S00001135,2025-Q4,T08,디아미크롱서방정,331773.18,0.7718,Unverified,low_coverage,tracking_validation
TRC_f0a7fecfeb9d,S00001140,2025-Q3,T01,넥시움정,1512028.33,0.7829,Unverified,low_coverage,tracking_validation
TRC_55d551ac4870,S00001175,2025-Q1,T05,디아미크롱서방정,216980.95,0.7771,Unverified,low_coverage,tracking_validation
TRC_b042ee39ef87,S00001187,2025-Q1,T08,네시나정,4077312.63,0.7823,Unverified,low_coverage,tracking_validation
TRC_f1f203eaea90,S00001194,2025-Q2,T03,올메텍정,1167154.12,0.7903,Unverified,low_coverage,tracking_validation
TRC_d95fdb3d0bf4,S00001204,2025-Q1,T06,리피토정,151800.0,0.785,Unverified,low_coverage,tracking_validation
TRC_fe6ff8fa9f1c,S00001208,2025-Q3,T03,가브스정,721252.22,0.7935,Unverified,low_coverage,tracking_validation
TRC_82e86cf22935,S00001211,2025-Q3,T03,아토젯정,500567.15,0.7726,Unverified,low_coverage,tracking_validation
TRC_b3d67ff9162d,S00001214,2025-Q1,T02,올메텍정,1570828.91,0.7872,Unverified,low_coverage,tracking_validation
TRC_4e4db20e4eab,S00001217,2025-Q3,T05,타미플루캡슐,10310705.96,0.7866,Unverified,low_coverage,tracking_validation
TRC_feed7f14ae3e,S00001218,2025-Q4,T03,세파클러캡슐,245714.75,0.772,Unverified,low_coverage,tracking_validation
TRC_a63418216b00,S00001232,2025-Q1,T05,엑스포지정,2324562.61,0.7782,Unverified,low_coverage,tracking_validation
TRC_b8008fc56651,S00001237,2025-Q4,T09,타미플루캡슐,425009.43,0.7944,Unverified,low_coverage,tracking_validation
TRC_b49c2fa6d03b,S00001244,2025-Q3,T01,리피토정,727233.04,0.7782,Unverified,low_coverage,tracking_validation
TRC_db8e825f9216,S00001256,2025-Q2,T01,아토르바정,413868.4,0.7737,Unverified,low_coverage,tracking_validation
TRC_def4505b8233,S00001270,2025-Q4,T10,로수젯정,867216.96,0.7887,Unverified,low_coverage,tracking_validation
TRC_891550bb8df5,S00001272,2025-Q4,T04,엑스포지정,943810.7,0.7918,Unverified,low_coverage,tracking_validation
TRC_c1765140b637,S00001276,2025-Q2,T07,아토르바정,266195.64,0.7749,Unverified,low_coverage,tracking_validation
TRC_94dc4a39fc35,S00001278,2025-Q4,T03,세파클러캡슐,225390.25,0.7808,Unverified,low_coverage,tracking_validation
TRC_4c297571e966,S00001291,2025-Q4,T08,아토젯정,3942372.99,0.7706,Unverified,low_coverage,tracking_validation
TRC_e1b82cec5ca9,S00001304,2025-Q3,T04,리피토정,2945006.0,0.7852,Unverified,low_coverage,tracking_validation
TRC_42012536e180,S00001311,2025-Q1,T04,아토젯정,7723971.52,0.7844,Unverified,low_coverage,tracking_validation
TRC_21e9b6de085c,S00001338,2025-Q1,T10,세파클러캡슐,4186417.03,0.7706,Unverified,low_coverage,tracking_validation
TRC_6c13d960cc35,S00001340,2025-Q4,T09,넥시움정,3053972.06,0.7764,Unverified,low_coverage,tracking_validation
TRC_c4eed87fef3f,S00001367,2025-Q4,T04,네시나정,209616.49,0.7802,Unverified,low_coverage,tracking_validation
TRC_5c422a55f24e,S00001374,2025-Q3,T06,올메텍정,330224.51,0.7764,Unverified,low_coverage,tracking_validation
TRC_613e5256158a,S00001379,2025-Q4,T08,서스펜정,1238327.42,0.7927,Unverified,low_coverage,tracking_validation
TRC_dbf053d7150f,S00001383,2025-Q4,T08,아모잘탄정,1847514.79,0.7897,Unverified,low_coverage,tracking_validation
TRC_17ccb4b3471d,S00001409,2025-Q3,T07,글루코파지정,577164.41,0.7726,Unverified,low_coverage,tracking_validation
TRC_1dc27748dfbd,S00001418,2025-Q1,T06,세파클러캡슐,372535.0,0.7909,Unverified,low_coverage,tracking_validation
TRC_81c2996037a7,S00001423,2025-Q4,T01,아모잘탄정,100552.16,0.7812,Unverified,low_coverage,tracking_validation
TRC_e6eb0362b219,S00001437,2025-Q3,T02,타미플루캡슐,724473.74,0.7837,Unverified,low_coverage,tracking_validation
TRC_b8389e18ecf8,S00001461,2025-Q3,T02,록소르정,16491.07,0.7756,Unverified,low_coverage,tracking_validation
TRC_19bbabd74770,S00001486,2025-Q3,T10,트라젠타정,292207.06,0.7857,Unverified,low_coverage,tracking_validation
TRC_99397126d653,S00001496,2025-Q1,T09,아토르바정,177042.89,0.7993,Unverified,low_coverage,tracking_validation
TRC_7bcbdbe13b56,S00001512,2025-Q3,T04,엑스포지정,599116.32,0.7693,Unverified,low_coverage,tracking_validation
TRC_07dbef379df8,S00001518,2025-Q3,T04,세파클러캡슐,516381.72,0.7978,Unverified,low_coverage,tracking_validation
TRC_ece473a5c314,S00001539,2025-Q1,T09,서스펜정,82278.95,0.7868,Unverified,low_coverage,tracking_validation
TRC_b1bd401434d8,S00001574,2025-Q3,T09,올메텍정,458533.99,0.778,Unverified,low_coverage,tracking_validation
TRC_0512edc2140f,S00001600,2025-Q2,T01,넥시움정,5511477.01,0.7703,Unverified,low_coverage,tracking_validation
TRC_b837b195fd9f,S00001611,2025-Q3,T04,아토젯정,4179615.9,0.7762,Unverified,low_coverage,tracking_validation
TRC_a351f0ae26f0,S00001621,2025-Q3,T03,록소르정,38420.06,0.7708,Unverified,low_coverage,tracking_validation
TRC_ea48bfcb4650,S00001629,2025-Q1,T08,글루코파지정,468778.15,0.7854,Unverified,low_coverage,tracking_validation
TRC_e424f5aaa7d3,S00001632,2025-Q4,T10,엑스포지정,600520.43,0.785,Unverified,low_coverage,tracking_validation
TRC_b0cb2f6004f1,S00001633,2025-Q1,T10,카나브정,170459.97,0.7741,Unverified,low_coverage,tracking_validation
TRC_66d8e56e42d6,S00001636,2025-Q3,T05,아토르바정,557624.37,0.7883,Unverified,low_coverage,tracking_validation
TRC_06345d6032c3,S00001637,2025-Q1,T08,타미플루캡슐,8762239.21,0.7724,Unverified,low_coverage,tracking_validation
TRC_9f714a3513bc,S00001653,2025-Q1,T10,카나브정,357118.33,0.7916,Unverified,low_coverage,tracking_validation
TRC_08442ad1d66f,S00001695,2025-Q2,T10,디아미크롱서방정,20790.34,0.7816,Unverified,low_coverage,tracking_validation
TRC_3a84fd1f40ef,S00001713,2025-Q4,T05,카나브정,184788.1,0.7846,Unverified,low_coverage,tracking_validation
TRC_08df604cfaa3,S00001727,2025-Q2,T10,네시나정,1724637.2,0.7755,Unverified,low_coverage,tracking_validation
TRC_169f2ead4b0d,S00001748,2025-Q4,T06,가브스정,8900894.6,0.7871,Unverified,low_coverage,tracking_validation
TRC_a1b2e124ec6e,S00001751,2025-Q1,T06,아토젯정,368456.0,0.7846,Unverified,low_coverage,tracking_validation
TRC_298ba63bb362,S00001752,2025-Q1,T08,엑스포지정,633424.37,0.7728,Unverified,low_coverage,tracking_validation
TRC_783b9b6f8bf3,S00001754,2025-Q2,T08,올메텍정,226300.06,0.7887,Unverified,low_coverage,tracking_validation
TRC_623070684e85,S00001756,2025-Q4,T10,아토르바정,304470.32,0.7855,Unverified,low_coverage,tracking_validation
TRC_3a2d19983cf6,S00001769,2025-Q4,T03,글루코파지정,1362554.08,0.7881,Unverified,low_coverage,tracking_validation
TRC_27d51cbb096a,S00001775,2025-Q3,T04,디아미크롱서방정,690420.85,0.7762,Unverified,low_coverage,tracking_validation
TRC_7aa937f55ac5,S00001781,2025-Q1,T04,록소르정,143046.24,0.7916,Unverified,low_coverage,tracking_validation
TRC_f7138d7946e9,S00001786,2025-Q2,T02,트라젠타정,1093113.49,0.7703,Unverified,low_coverage,tracking_validation
TRC_f89bd1f29e40,S00001789,2025-Q4,T03,글루코파지정,1494445.07,0.7714,Unverified,low_coverage,tracking_validation
TRC_710cbac0630d,S00001791,2025-Q1,T03,아토젯정,188937.51,0.7917,Unverified,low_coverage,tracking_validation
TRC_48a44571e8ef,S00001794,2025-Q4,T08,올메텍정,4061001.43,0.7734,Unverified,low_coverage,tracking_validation
TRC_35ec099df5e8,S00001806,2025-Q2,T09,트라젠타정,547801.7,0.7761,Unverified,low_coverage,tracking_validation
TRC_37e8f2152fba,S00001811,2025-Q4,T04,아토젯정,8904842.3,0.7736,Unverified,low_coverage,tracking_validation
TRC_2cbd3d8f38dc,S00001860,2025-Q4,T02,넥시움정,456227.97,0.7711,Unverified,low_coverage,tracking_validation
TRC_b4fa60caca21,S00001867,2025-Q4,T02,네시나정,806737.19,0.7951,Unverified,low_coverage,tracking_validation
TRC_91c706a8ace4,S00001868,2025-Q2,T02,가브스정,193988.81,0.7831,Unverified,low_coverage,tracking_validation
TRC_be3f8db15e58,S00001873,2025-Q4,T10,카나브정,295010.66,0.797,Unverified,low_coverage,tracking_validation
TRC_02b4d231f3d0,S00001875,2025-Q3,T05,디아미크롱서방정,307954.94,0.7856,Unverified,low_coverage,tracking_validation
TRC_8c10841bd907,S00001884,2025-Q4,T09,리피토정,423460.83,0.7971,Unverified,low_coverage,tracking_validation
TRC_903f3895ffab,S00001907,2025-Q2,T06,네시나정,337136.65,0.772,Unverified,low_coverage,tracking_validation
TRC_a3bc08382b26,S00001911,2025-Q2,T08,아토젯정,5548889.43,0.7862,Unverified,low_coverage,tracking_validation
TRC_1333344fcbdd,S00001918,2025-Q1,T08,세파클러캡슐,4770890.78,0.7918,Unverified,low_coverage,tracking_validation
TRC_9e166f780847,S00001931,2025-Q1,T02,아토젯정,2660963.96,0.7902,Unverified,low_coverage,tracking_validation
TRC_5ba2fb8fcded,S00001934,2025-Q4,T07,올메텍정,225958.58,0.789,Unverified,low_coverage,tracking_validation
TRC_0f745b127495,S00001938,2025-Q2,T07,세파클러캡슐,4981915.46,0.7872,Unverified,low_coverage,tracking_validation
TRC_13ba0e3bb959,S00001982,2025-Q4,T09,자누비아정,474150.0,0.7958,Unverified,low_coverage,tracking_validation
TRC_c56bd54817b8,S00001987,2025-Q2,T10,네시나정,289745.96,0.7976,Unverified,low_coverage,tracking_validation
TRC_49f292f91d19,S00002008,2025-Q4,T06,가브스정,9452232.04,0.7942,Unverified,low_coverage,tracking_validation
TRC_d73d1074c041,S00002040,2025-Q3,T07,넥시움정,308748.44,0.7996,Unverified,low_coverage,tracking_validation
TRC_1313f8d87c2c,S00002043,2025-Q1,T08,아모잘탄정,841464.5,0.7724,Unverified,low_coverage,tracking_validation
TRC_23e255d2d824,S00002046,2025-Q1,T02,트라젠타정,119746.81,0.7755,Unverified,low_coverage,tracking_validation
TRC_be304a79b797,S00002049,2025-Q1,T01,글루코파지정,45895.69,0.7717,Unverified,low_coverage,tracking_validation
TRC_d08f4a40e4bd,S00002066,2025-Q1,T09,트라젠타정,496424.51,0.786,Unverified,low_coverage,tracking_validation
TRC_5f98c87a8f85,S00002105,2025-Q3,T10,플라빅스정,5658349.18,0.7985,Unverified,low_coverage,tracking_validation
TRC_78cc636a68a8,S00002110,2025-Q4,T04,로수젯정,2654139.46,0.7791,Unverified,low_coverage,tracking_validation
TRC_a2986755cc0c,S00002115,2025-Q2,T08,디아미크롱서방정,2930394.05,0.7914,Unverified,low_coverage,tracking_validation
TRC_34722484191d,S00002119,2025-Q1,T08,서스펜정,2710715.17,0.7843,Unverified,low_coverage,tracking_validation
TRC_5d673ada86cf,S00002132,2025-Q1,T10,엑스포지정,631894.08,0.7879,Unverified,low_coverage,tracking_validation
TRC_904dd88707a5,S00002158,2025-Q1,T06,세파클러캡슐,4441778.05,0.7954,Unverified,low_coverage,tracking_validation
TRC_4ef72245ec63,S00002166,2025-Q3,T06,트라젠타정,558998.24,0.7708,Unverified,low_coverage,tracking_validation
TRC_afcc0d1899c8,S00002198,2025-Q4,T05,세파클러캡슐,1814155.43,0.7739,Unverified,low_coverage,tracking_validation
TRC_d530f1d45feb,S00002204,2025-Q1,T08,리피토정,206398.17,0.7728,Unverified,low_coverage,tracking_validation
TRC_93bc2790f97d,S00002205,2025-Q2,T08,플라빅스정,2870887.99,0.7826,Unverified,low_coverage,tracking_validation
TRC_888b409235de,S00002211,2025-Q1,T01,아토젯정,7471982.46,0.7753,Unverified,low_coverage,tracking_validation
TRC_c10a6d483134,S00002237,2025-Q3,T01,타미플루캡슐,257330.42,0.7774,Unverified,low_coverage,tracking_validation
TRC_eb74098b3d83,S00002238,2025-Q1,T01,세파클러캡슐,1482085.93,0.7729,Unverified,low_coverage,tracking_validation
TRC_b4a1c6af43a1,S00002271,2025-Q3,T02,아토젯정,6418191.44,0.7851,Unverified,low_coverage,tracking_validation
TRC_21ebf1a03ba4,S00002275,2025-Q2,T07,디아미크롱서방정,202633.67,0.794,Unverified,low_coverage,tracking_validation
TRC_533045a24b8f,S00002288,2025-Q1,T04,가브스정,9830451.13,0.7902,Unverified,low_coverage,tracking_validation
TRC_4d27f7757e16,S00002293,2025-Q2,T07,카나브정,141289.89,0.7846,Unverified,low_coverage,tracking_validation
TRC_81158c6ce6a8,S00002305,2025-Q4,T08,플라빅스정,1341755.66,0.7811,Unverified,low_coverage,tracking_validation
TRC_c48db6020db6,S00002344,2025-Q3,T07,리피토정,453309.24,0.7742,Unverified,low_coverage,tracking_validation
TRC_bece8692407e,S00002358,2025-Q4,T09,세파클러캡슐,5001785.79,0.7811,Unverified,low_coverage,tracking_validation
TRC_92c2d9ecc541,S00002359,2025-Q1,T09,서스펜정,59403.37,0.7826,Unverified,low_coverage,tracking_validation
TRC_d75cd1ff9b70,S00002365,2025-Q1,T09,플라빅스정,2306178.31,0.7721,Unverified,low_coverage,tracking_validation
TRC_d66fa9d33ccf,S00002371,2025-Q2,T03,아토젯정,8876113.98,0.7731,Unverified,low_coverage,tracking_validation
TRC_463f73506f3b,S00002378,2025-Q1,T01,세파클러캡슐,14127.31,0.7834,Unverified,low_coverage,tracking_validation
TRC_2c59c0a7f742,S00002381,2025-Q3,T07,록소르정,64706.17,0.7974,Unverified,low_coverage,tracking_validation
TRC_e96cfbdc8e6c,S00002396,2025-Q2,T02,아토르바정,307435.29,0.7735,Unverified,low_coverage,tracking_validation
TRC_da3e4c6f6c25,S00002415,2025-Q4,T01,디아미크롱서방정,1881515.17,0.7785,Unverified,low_coverage,tracking_validation
TRC_3e72ed8d863f,S00002430,2025-Q2,T06,로수젯정,579507.33,0.7745,Unverified,low_coverage,tracking_validation
TRC_99a791369164,S00002494,2025-Q4,T03,올메텍정,94694.63,0.7976,Unverified,low_coverage,tracking_validation
TRC_c72aae18f703,S00002501,2025-Q1,T01,록소르정,1294173.33,0.7927,Unverified,low_coverage,tracking_validation
