case_id,ship_id (출고ID),year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),trace_status (추적상태),trace_reason (추적사유),note (비고),updated_by (수정자),updated_at (수정시각),created_from (생성소스)
TRC_1f72ea82e665,S00000478,2025-Q2,T08,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_bd5467965179,S00000483,2025-Q2,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7cb0037413e2,S00000492,2025-Q1,T06,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_9463ac12b6c0,S00000502,2025-Q4,T01,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_fa1d51bbdee0,S00000507,2025-Q2,T10,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8635202ede7a,S00000544,2025-Q4,T04,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4dd6c73df278,S00000547,2025-Q1,T05,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_21e85352a24a,S00000552,2025-Q1,T03,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_ea3e3dc6ee97,S00000559,2025-Q4,T07,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_6109e74381a6,S00000577,2025-Q1,T10,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_21bb7e3a17b3,S00000589,2025-Q1,T02,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_82117f575068,S00000596,2025-Q4,T08,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_348abf84851d,S00000616,2025-Q2,T07,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f6b8219269ed,S00000644,2025-Q4,T05,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_13ee91d0069e,S00000646,2025-Q4,T04,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_5245208e843c,S00000703,2025-Q3,T07,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_30d002c43ab3,S00000706,2025-Q3,T01,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8a1f40745807,S00000709,2025-Q3,T03,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_6b16efa60e8c,S00000728,2025-Q3,T10,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_9a65d2a9fab1,S00000746,2025-Q1,T09,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_37e07a16a014,S00000763,2025-Q4,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_af5f581b38e1,S00000770,2025-Q3,T05,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a0efa10d0451,S00000783,2025-Q2,T05,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e7ba1820e88b,S00000794,2025-Q4,T04,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_cbf3ef5c5de0,S00000803,2025-Q3,T06,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_35a99c5dadaf,S00000813,2025-Q4,T09,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_dc122a2ad57e,S00000826,2025-Q2,T07,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8133b1ccf23a,S00000830,2025-Q4,T10,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b38d6415cbdc,S00000832,2025-Q4,T09,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_decf2001d2cf,S00000845,2025-Q2,T08,플라빅스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_99eb5145a773,S00000848,2025-Q3,T07,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_11d0a7881f18,S00000849,2025-Q4,T07,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b2eafb733de4,S00000857,2025-Q1,T08,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a1ce7b11d140,S00000895,2025-Q1,T01,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_5c95710121f6,S00000904,2025-Q4,T05,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_abcd6e1cb30a,S00000906,2025-Q1,T04,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_6131d742490e,S00000915,2025-Q2,T05,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f9c71acbd9d1,S00000925,2025-Q4,T06,플라빅스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4ad950feeaac,S00000926,2025-Q4,T09,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c4632f7b2963,S00000928,2025-Q1,T07,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_9961a7f36ef5,S00000933,2025-Q2,T10,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_81e0e06c076a,S00000937,2025-Q3,T04,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_92c0c3d39074,S00000949,2025-Q2,T03,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e8182a81a714,S00000953,2025-Q1,T10,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e1edb323851e,S00000955,2025-Q3,T08,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b848c282a707,S00000990,2025-Q2,T05,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_149f13494784,S00000994,2025-Q4,T02,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e463cf226e05,S00001006,2025-Q1,T05,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f10c01da17f3,S00001009,2025-Q4,T03,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_887ab497f2d0,S00001013,2025-Q3,T05,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8300f1fff5b6,S00001019,2025-Q2,T09,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_608e01d4b29c,S00001038,2025-Q1,T06,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4aae19e67647,S00001039,2025-Q4,T07,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_71535933156c,S00001043,2025-Q3,T02,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_50098f04969b,S00001052,2025-Q4,T09,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_65574d59cb9f,S00001061,2025-Q2,T05,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_3ecc5df7e978,S00001063,2025-Q4,T01,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_25601ba82bbb,S00001071,2025-Q2,T04,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_303dc4b2828d,S00001102,2025-Q3,T01,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4270e1f983d4,S00001106,2025-Q3,T10,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e0c492202b9a,S00001108,2025-Q2,T08,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b04aee264b95,S00001117,2025-Q2,T07,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e0e712a5d768,S00001128,2025-Q1,T02,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e4af1ddf4bc1,S00001135,2025-Q4,T08,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f0a7fecfeb9d,S00001140,2025-Q3,T01,넥시움정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_55d551ac4870,S00001175,2025-Q1,T05,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b042ee39ef87,S00001187,2025-Q1,T08,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f1f203eaea90,S00001194,2025-Q2,T03,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_d95fdb3d0bf4,S00001204,2025-Q1,T06,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_fe6ff8fa9f1c,S00001208,2025-Q3,T03,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_82e86cf22935,S00001211,2025-Q3,T03,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b3d67ff9162d,S00001214,2025-Q1,T02,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4e4db20e4eab,S00001217,2025-Q3,T05,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_feed7f14ae3e,S00001218,2025-Q4,T03,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a63418216b00,S00001232,2025-Q1,T05,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b8008fc56651,S00001237,2025-Q4,T09,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b49c2fa6d03b,S00001244,2025-Q3,T01,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_db8e825f9216,S00001256,2025-Q2,T01,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_def4505b8233,S00001270,2025-Q4,T10,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_891550bb8df5,S00001272,2025-Q4,T04,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c1765140b637,S00001276,2025-Q2,T07,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_94dc4a39fc35,S00001278,2025-Q4,T03,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4c297571e966,S00001291,2025-Q4,T08,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e1b82cec5ca9,S00001304,2025-Q3,T04,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_42012536e180,S00001311,2025-Q1,T04,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_21e9b6de085c,S00001338,2025-Q1,T10,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_6c13d960cc35,S00001340,2025-Q4,T09,넥시움정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c4eed87fef3f,S00001367,2025-Q4,T04,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_5c422a55f24e,S00001374,2025-Q3,T06,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_613e5256158a,S00001379,2025-Q4,T08,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_dbf053d7150f,S00001383,2025-Q4,T08,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_17ccb4b3471d,S00001409,2025-Q3,T07,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_1dc27748dfbd,S00001418,2025-Q1,T06,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_81c2996037a7,S00001423,2025-Q4,T01,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e6eb0362b219,S00001437,2025-Q3,T02,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b8389e18ecf8,S00001461,2025-Q3,T02,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_19bbabd74770,S00001486,2025-Q3,T10,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_99397126d653,S00001496,2025-Q1,T09,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7bcbdbe13b56,S00001512,2025-Q3,T04,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_07dbef379df8,S00001518,2025-Q3,T04,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_ece473a5c314,S00001539,2025-Q1,T09,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b1bd401434d8,S00001574,2025-Q3,T09,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_0512edc2140f,S00001600,2025-Q2,T01,넥시움정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b837b195fd9f,S00001611,2025-Q3,T04,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a351f0ae26f0,S00001621,2025-Q3,T03,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_ea48bfcb4650,S00001629,2025-Q1,T08,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e424f5aaa7d3,S00001632,2025-Q4,T10,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b0cb2f6004f1,S00001633,2025-Q1,T10,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_66d8e56e42d6,S00001636,2025-Q3,T05,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_06345d6032c3,S00001637,2025-Q1,T08,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_9f714a3513bc,S00001653,2025-Q1,T10,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_08442ad1d66f,S00001695,2025-Q2,T10,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_3a84fd1f40ef,S00001713,2025-Q4,T05,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_08df604cfaa3,S00001727,2025-Q2,T10,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_169f2ead4b0d,S00001748,2025-Q4,T06,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a1b2e124ec6e,S00001751,2025-Q1,T06,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_298ba63bb362,S00001752,2025-Q1,T08,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_783b9b6f8bf3,S00001754,2025-Q2,T08,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_623070684e85,S00001756,2025-Q4,T10,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_3a2d19983cf6,S00001769,2025-Q4,T03,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_27d51cbb096a,S00001775,2025-Q3,T04,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7aa937f55ac5,S00001781,2025-Q1,T04,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f7138d7946e9,S00001786,2025-Q2,T02,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_f89bd1f29e40,S00001789,2025-Q4,T03,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_710cbac0630d,S00001791,2025-Q1,T03,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_48a44571e8ef,S00001794,2025-Q4,T08,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_35ec099df5e8,S00001806,2025-Q2,T09,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_37e8f2152fba,S00001811,2025-Q4,T04,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_2cbd3d8f38dc,S00001860,2025-Q4,T02,넥시움정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_b4fa60caca21,S00001867,2025-Q4,T02,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_91c706a8ace4,S00001868,2025-Q2,T02,가브스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_be3f8db15e58,S00001873,2025-Q4,T10,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_02b4d231f3d0,S00001875,2025-Q3,T05,디아미크롱서방정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8c10841bd907,S00001884,2025-Q4,T09,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_903f3895ffab,S00001907,2025-Q2,T06,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a3bc08382b26,S00001911,2025-Q2,T08,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_1333344fcbdd,S00001918,2025-Q1,T08,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_9e166f780847,S00001931,2025-Q1,T02,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_5ba2fb8fcded,S00001934,2025-Q4,T07,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_0f745b127495,S00001938,2025-Q2,T07,세파클러캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_13ba0e3bb959,S00001982,2025-Q4,T09,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
