year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),overlap_group_id (중첩그룹ID),participant_count (참여자수),pool_amount_pre_share (풀쉐어전금액),pool_amount_post_share (풀쉐어후금액),pool_amount_hosp_share (풀병원배분금액),pool_amount_clinic_share (풀의원배분금액),rounding_delta_sum (라운딩보정합),overlap_generated_rows (중첩생성행수),participant_type_set (참여자유형집합),share_rule_source_set (룰소스집합),conservation_gap (보전성갭)
2025-Q1,T01,세파클러캡슐,OG_2025-Q1_T01_세파클러캡슐_03,13,61185400.0,61185400.0,30592700.0,30592700.0,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,세파클러캡슐,OG_2025-Q1_T01_세파클러캡슐_04,10,81635100.0,81635100.0,40817550.0,40817550.0,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,세파클러캡슐,OG_2025-Q1_T01_세파클러캡슐_05,12,64117800.0,64117800.0,32058900.0,32058900.0,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아모잘탄정,OG_2025-Q1_T01_아모잘탄정_01,8,61444812.0,61444812.0,30722406.0,30722406.0,0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아모잘탄정,OG_2025-Q1_T01_아모잘탄정_02,7,49035870.0,49035870.0,24517935.0,24517935.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아모잘탄정,OG_2025-Q1_T01_아모잘탄정_03,13,55015684.0,55015684.0,27507842.0,27507842.0,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아모잘탄정,OG_2025-Q1_T01_아모잘탄정_04,13,80415682.0,80415682.0,40207841.0,40207841.0,-0.02,7,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아모잘탄정,OG_2025-Q1_T01_아모잘탄정_05,10,105649194.0,105649194.0,52824597.0,52824597.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토르바정,OG_2025-Q1_T01_아토르바정_01,9,11306356.0,11306356.0,5653178.0,5653178.0,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토르바정,OG_2025-Q1_T01_아토르바정_02,8,41508267.0,41508267.0,20754133.5,20754133.5,-0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토르바정,OG_2025-Q1_T01_아토르바정_03,8,27759724.0,27759724.0,13879862.0,13879862.0,-0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토르바정,OG_2025-Q1_T01_아토르바정_04,8,18356028.0,18356028.0,9178014.0,9178014.0,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토르바정,OG_2025-Q1_T01_아토르바정_05,12,39627774.0,39627774.0,19813887.0,19813887.0,0.02,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토젯정,OG_2025-Q1_T01_아토젯정_01,15,181438866.0,181438866.0,90719433.0,90719433.0,-0.01,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토젯정,OG_2025-Q1_T01_아토젯정_02,12,101114001.0,101114001.0,50557000.5,50557000.5,0.0,0,"clinic,hosp",direct,0.0
2025-Q1,T01,아토젯정,OG_2025-Q1_T01_아토젯정_03,10,111390579.0,111390579.0,55695289.5,55695289.5,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토젯정,OG_2025-Q1_T01_아토젯정_04,14,163225035.0,163225035.0,81612517.5,81612517.5,-0.01,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,아토젯정,OG_2025-Q1_T01_아토젯정_05,13,88944012.0,88944012.0,44472006.0,44472006.0,-0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,엑스포지정,OG_2025-Q1_T01_엑스포지정_01,11,86647133.0,86647133.0,43323566.5,43323566.5,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,엑스포지정,OG_2025-Q1_T01_엑스포지정_02,16,132525028.0,132525028.0,66262514.0,66262514.0,-0.02,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,엑스포지정,OG_2025-Q1_T01_엑스포지정_03,13,42204673.0,42204673.0,21102336.5,21102336.5,-0.02,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,엑스포지정,OG_2025-Q1_T01_엑스포지정_04,10,40212014.0,40212014.0,20106007.0,20106007.0,0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,엑스포지정,OG_2025-Q1_T01_엑스포지정_05,11,21184778.0,21184778.0,10592389.0,10592389.0,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,올메텍정,OG_2025-Q1_T01_올메텍정_01,8,53112476.0,53112476.0,26556238.0,26556238.0,0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,올메텍정,OG_2025-Q1_T01_올메텍정_02,8,42556927.0,42556927.0,21278463.5,21278463.5,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,올메텍정,OG_2025-Q1_T01_올메텍정_03,7,21855480.0,21855480.0,10927740.0,10927740.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,올메텍정,OG_2025-Q1_T01_올메텍정_04,9,58250620.0,58250620.0,29125310.0,29125310.0,-0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,올메텍정,OG_2025-Q1_T01_올메텍정_05,9,44325148.0,44325148.0,22162574.0,22162574.0,-0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,자누비아정,OG_2025-Q1_T01_자누비아정_01,7,113640000.0,113640000.0,56820000.0,56820000.0,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,자누비아정,OG_2025-Q1_T01_자누비아정_02,9,104810000.0,104810000.0,52405000.0,52405000.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,자누비아정,OG_2025-Q1_T01_자누비아정_03,13,270596000.0,270596000.0,135298000.0,135298000.0,0.02,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,자누비아정,OG_2025-Q1_T01_자누비아정_04,15,363348000.0,363348000.0,181674000.0,181674000.0,-0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,자누비아정,OG_2025-Q1_T01_자누비아정_05,9,175930000.0,175930000.0,87965000.0,87965000.0,0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,카나브정,OG_2025-Q1_T01_카나브정_01,15,59955387.0,59955387.0,29977693.5,29977693.5,0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,카나브정,OG_2025-Q1_T01_카나브정_02,5,12353826.0,12353826.0,6176913.0,6176913.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,카나브정,OG_2025-Q1_T01_카나브정_03,14,54256323.0,54256323.0,27128161.5,27128161.5,0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,카나브정,OG_2025-Q1_T01_카나브정_04,10,50061765.0,50061765.0,25030882.5,25030882.5,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,카나브정,OG_2025-Q1_T01_카나브정_05,7,47495355.0,47495355.0,23747677.5,23747677.5,0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,타미플루캡슐,OG_2025-Q1_T01_타미플루캡슐_01,7,20826900.0,20826900.0,10413450.0,10413450.0,0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,타미플루캡슐,OG_2025-Q1_T01_타미플루캡슐_02,13,102392000.0,102392000.0,51196000.0,51196000.0,0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,타미플루캡슐,OG_2025-Q1_T01_타미플루캡슐_03,7,81502700.0,81502700.0,40751350.0,40751350.0,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,타미플루캡슐,OG_2025-Q1_T01_타미플루캡슐_04,6,93801500.0,93801500.0,46900750.0,46900750.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,타미플루캡슐,OG_2025-Q1_T01_타미플루캡슐_05,8,44402000.0,44402000.0,22201000.0,22201000.0,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,트라젠타정,OG_2025-Q1_T01_트라젠타정_01,10,23011200.0,23011200.0,11505600.0,11505600.0,0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,트라젠타정,OG_2025-Q1_T01_트라젠타정_02,13,24289600.0,24289600.0,12144800.0,12144800.0,0.0,7,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,트라젠타정,OG_2025-Q1_T01_트라젠타정_03,15,32824800.0,32824800.0,16412400.0,16412400.0,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,트라젠타정,OG_2025-Q1_T01_트라젠타정_04,9,22108800.0,22108800.0,11054400.0,11054400.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,트라젠타정,OG_2025-Q1_T01_트라젠타정_05,18,26846400.0,26846400.0,13423200.0,13423200.0,-0.02,7,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,플라빅스정,OG_2025-Q1_T01_플라빅스정_01,5,73962000.0,73962000.0,36981000.0,36981000.0,0.0,4,"hosp,mixed",direct,0.0
2025-Q1,T01,플라빅스정,OG_2025-Q1_T01_플라빅스정_02,8,136710000.0,136710000.0,68355000.0,68355000.0,-0.01,0,"clinic,hosp",direct,0.0
2025-Q1,T01,플라빅스정,OG_2025-Q1_T01_플라빅스정_03,7,86814000.0,86814000.0,43407000.0,43407000.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,플라빅스정,OG_2025-Q1_T01_플라빅스정_04,8,75852000.0,75852000.0,37926000.0,37926000.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,플라빅스정,OG_2025-Q1_T01_플라빅스정_05,4,44352000.0,44352000.0,22176000.0,22176000.0,-0.01,1,"clinic,mixed",direct,0.0
2025-Q1,T02,가브스정,OG_2025-Q1_T02_가브스정_01,11,78698023.0,78698023.0,39349011.5,39349011.5,-0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,가브스정,OG_2025-Q1_T02_가브스정_02,15,145053074.0,145053074.0,72526537.0,72526537.0,0.02,9,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,가브스정,OG_2025-Q1_T02_가브스정_03,14,173454246.0,173454246.0,86727123.0,86727123.0,0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,가브스정,OG_2025-Q1_T02_가브스정_04,12,124401005.0,124401005.0,62200502.5,62200502.5,0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,가브스정,OG_2025-Q1_T02_가브스정_05,9,62774575.0,62774575.0,31387287.5,31387287.5,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,글루코파지정,OG_2025-Q1_T02_글루코파지정_01,12,30587886.0,30587886.0,15293943.0,15293943.0,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,글루코파지정,OG_2025-Q1_T02_글루코파지정_02,11,25718406.0,25718406.0,12859203.0,12859203.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,글루코파지정,OG_2025-Q1_T02_글루코파지정_03,6,22360914.0,22360914.0,11180457.0,11180457.0,0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,글루코파지정,OG_2025-Q1_T02_글루코파지정_04,11,36211728.0,36211728.0,18105864.0,18105864.0,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,글루코파지정,OG_2025-Q1_T02_글루코파지정_05,10,16592464.0,16592464.0,8296232.0,8296232.0,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,네시나정,OG_2025-Q1_T02_네시나정_01,11,94017637.0,94017637.0,47008818.5,47008818.5,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,네시나정,OG_2025-Q1_T02_네시나정_02,10,93743631.0,93743631.0,46871815.5,46871815.5,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,네시나정,OG_2025-Q1_T02_네시나정_03,14,180353787.0,180353787.0,90176893.5,90176893.5,-0.02,8,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,네시나정,OG_2025-Q1_T02_네시나정_04,12,40880073.0,40880073.0,20440036.5,20440036.5,-0.04,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,네시나정,OG_2025-Q1_T02_네시나정_05,7,50137468.0,50137468.0,25068734.0,25068734.0,0.04,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,넥시움정,OG_2025-Q1_T02_넥시움정_01,11,65706194.0,65706194.0,32853097.0,32853097.0,0.03,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,넥시움정,OG_2025-Q1_T02_넥시움정_02,9,10306217.0,10306217.0,5153108.5,5153108.5,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,넥시움정,OG_2025-Q1_T02_넥시움정_03,11,42932441.0,42932441.0,21466220.5,21466220.5,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,넥시움정,OG_2025-Q1_T02_넥시움정_04,8,35145872.0,35145872.0,17572936.0,17572936.0,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,넥시움정,OG_2025-Q1_T02_넥시움정_05,14,101741387.0,101741387.0,50870693.5,50870693.5,-0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,디아미크롱서방정,OG_2025-Q1_T02_디아미크롱서방정_01,9,23544000.0,23544000.0,11772000.0,11772000.0,0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,디아미크롱서방정,OG_2025-Q1_T02_디아미크롱서방정_02,17,63073800.0,63073800.0,31536900.0,31536900.0,-0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,디아미크롱서방정,OG_2025-Q1_T02_디아미크롱서방정_03,7,34826400.0,34826400.0,17413200.0,17413200.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,디아미크롱서방정,OG_2025-Q1_T02_디아미크롱서방정_04,6,18956200.0,18956200.0,9478100.0,9478100.0,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,디아미크롱서방정,OG_2025-Q1_T02_디아미크롱서방정_05,11,20974800.0,20974800.0,10487400.0,10487400.0,0.02,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,로수젯정,OG_2025-Q1_T02_로수젯정_01,12,149772945.0,149772945.0,74886472.5,74886472.5,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,로수젯정,OG_2025-Q1_T02_로수젯정_02,5,56142255.0,56142255.0,28071127.5,28071127.5,0.0,1,"hosp,mixed",direct,0.0
2025-Q1,T02,로수젯정,OG_2025-Q1_T02_로수젯정_03,9,132784059.0,132784059.0,66392029.5,66392029.5,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,로수젯정,OG_2025-Q1_T02_로수젯정_04,11,118677942.0,118677942.0,59338971.0,59338971.0,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,로수젯정,OG_2025-Q1_T02_로수젯정_05,9,85074009.0,85074009.0,42537004.5,42537004.5,-0.02,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,록소르정,OG_2025-Q1_T02_록소르정_01,11,30892600.0,30892600.0,15446300.0,15446300.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,록소르정,OG_2025-Q1_T02_록소르정_02,9,6289600.0,6289600.0,3144800.0,3144800.0,-0.02,4,"clinic,mixed",direct,0.0
2025-Q1,T02,록소르정,OG_2025-Q1_T02_록소르정_03,11,20601000.0,20601000.0,10300500.0,10300500.0,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,록소르정,OG_2025-Q1_T02_록소르정_04,11,17142200.0,17142200.0,8571100.0,8571100.0,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,록소르정,OG_2025-Q1_T02_록소르정_05,12,28596000.0,28596000.0,14298000.0,14298000.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,리피토정,OG_2025-Q1_T02_리피토정_01,9,52573131.0,52573131.0,26286565.5,26286565.5,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,리피토정,OG_2025-Q1_T02_리피토정_02,10,64179936.0,64179936.0,32089968.0,32089968.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,리피토정,OG_2025-Q1_T02_리피토정_03,10,48006276.0,48006276.0,24003138.0,24003138.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,리피토정,OG_2025-Q1_T02_리피토정_04,15,12362400.0,12362400.0,6181200.0,6181200.0,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,리피토정,OG_2025-Q1_T02_리피토정_05,11,33339669.0,33339669.0,16669834.5,16669834.5,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,서스펜정,OG_2025-Q1_T02_서스펜정_01,5,14637606.0,14637606.0,7318803.0,7318803.0,0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,서스펜정,OG_2025-Q1_T02_서스펜정_02,8,46325910.0,46325910.0,23162955.0,23162955.0,0.02,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,서스펜정,OG_2025-Q1_T02_서스펜정_03,11,64907712.0,64907712.0,32453856.0,32453856.0,-0.01,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,서스펜정,OG_2025-Q1_T02_서스펜정_04,11,27921042.0,27921042.0,13960521.0,13960521.0,-0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,서스펜정,OG_2025-Q1_T02_서스펜정_05,7,27590727.0,27590727.0,13795363.5,13795363.5,0.0,0,"clinic,hosp",direct,0.0
2025-Q1,T02,세파클러캡슐,OG_2025-Q1_T02_세파클러캡슐_01,10,56850600.0,56850600.0,28425300.0,28425300.0,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T02,세파클러캡슐,OG_2025-Q1_T02_세파클러캡슐_02,5,21078900.0,21078900.0,10539450.0,10539450.0,0.01,0,"clinic,hosp",direct,0.0
2025-Q1,T02,세파클러캡슐,OG_2025-Q1_T02_세파클러캡슐_03,9,54084900.0,54084900.0,27042450.0,27042450.0,0.01,0,"clinic,hosp",direct,0.0
2025-Q1,T02,세파클러캡슐,OG_2025-Q1_T02_세파클러캡슐_04,6,13217800.0,13217800.0,6608900.0,6608900.0,0.0,0,"clinic,hosp",direct,0.0
2025-Q1,T02,세파클러캡슐,OG_2025-Q1_T02_세파클러캡슐_05,9,50584400.0,50584400.0,25292200.0,25292200.0,-0.02,3,"clinic,hosp,mixed",direct,0.0
