ship_id,amount_pre_share,amount_hosp_share_55,amount_clinic_share_55,amount_hosp_share_73,amount_clinic_share_73,delta_hosp,delta_clinic
S00000069,1611969.0,805984.5,805984.5,1128378.3,483590.7,322393.8,-322393.8
S00000070,2934600.0,1467300.0,1467300.0,2054220.0,880380.0,586920.0,-586920.0
S00000071,33652188.0,16826094.0,16826094.0,23556531.6,10095656.4,6730437.6,-6730437.6
S00000072,1396800.0,698400.0,698400.0,977760.0,419040.0,279360.0,-279360.0
S00000073,1637982.0,818991.0,818991.0,1146587.4,491394.6,327596.4,-327596.4
S00000074,415005.0,207502.5,207502.5,290503.5,124501.5,83001.0,-83001.0
S00000075,285200.0,142600.0,142600.0,199640.0,85560.0,57040.0,-57040.0
S00000076,8663886.0,4331943.0,4331943.0,6064720.2,2599165.8,1732777.2,-1732777.2
S00000077,2318400.0,1159200.0,1159200.0,1622880.0,695520.0,463680.0,-463680.0
S00000078,4074000.0,2037000.0,2037000.0,2851800.0,1222200.0,814800.0,-814800.0
S00000079,103500.0,51750.0,51750.0,72450.0,31050.0,20700.0,-20700.0
S00000080,6868068.0,3434034.0,3434034.0,4807647.6,2060420.4,1373613.6,-1373613.6
S00000081,1452000.0,726000.0,726000.0,1016400.0,435600.0,290400.0,-290400.0
S00000082,462000.0,231000.0,231000.0,323400.0,138600.0,92400.0,-92400.0
S00000083,23935824.0,11967912.0,11967912.0,16755076.8,7180747.2,4787164.8,-4787164.8
S00000084,1009800.0,504900.0,504900.0,706860.0,302940.0,201960.0,-201960.0
S00000085,15372000.0,7686000.0,7686000.0,10760400.0,4611600.0,3074400.0,-3074400.0
S00000086,3252400.0,1626200.0,1626200.0,2276680.0,975720.0,650480.0,-650480.0
S00000087,3542022.0,1771011.0,1771011.0,2479415.4,1062606.6,708404.4,-708404.4
S00000088,33464178.0,16732089.0,16732089.0,23424924.6,10039253.4,6692835.6,-6692835.6
S00000089,1767966.0,883983.0,883983.0,1237576.2,530389.8,353593.2,-353593.2
S00000090,29987157.0,14993578.5,14993578.5,20991009.9,8996147.1,5997431.4,-5997431.4
S00000091,15215085.0,7607542.5,7607542.5,10650559.5,4564525.5,3043017.0,-3043017.0
S00000092,2948800.0,1474400.0,1474400.0,2064160.0,884640.0,589760.0,-589760.0
S00000093,10555884.0,5277942.0,5277942.0,7389118.8,3166765.2,2111176.8,-2111176.8
S00000094,2308600.0,1154300.0,1154300.0,1616020.0,692580.0,461720.0,-461720.0
S00000095,5073000.0,2536500.0,2536500.0,3551100.0,1521900.0,1014600.0,-1014600.0
S00000096,1098800.0,549400.0,549400.0,769160.0,329640.0,219760.0,-219760.0
S00000097,2311200.0,1155600.0,1155600.0,1617840.0,693360.0,462240.0,-462240.0
S00000098,1277500.0,638750.0,638750.0,894250.0,383250.0,255500.0,-255500.0
S00000099,3135951.0,1567975.5,1567975.5,2195165.7,940785.3,627190.2,-627190.2
S00000100,632200.0,316100.0,316100.0,442540.0,189660.0,126440.0,-126440.0
S00000101,3894000.0,1947000.0,1947000.0,2725800.0,1168200.0,778800.0,-778800.0
S00000102,67470000.0,33735000.0,33735000.0,47229000.0,20241000.0,13494000.0,-13494000.0
S00000103,2787300.0,1393650.0,1393650.0,1951110.0,836190.0,557460.0,-557460.0
S00000104,613800.0,306900.0,306900.0,429660.0,184140.0,122760.0,-122760.0
S00000105,2016000.0,1008000.0,1008000.0,1411200.0,604800.0,403200.0,-403200.0
S00000106,3120800.0,1560400.0,1560400.0,2184560.0,936240.0,624160.0,-624160.0
S00000107,10787067.0,5393533.5,5393533.5,7550946.9,3236120.1,2157413.4,-2157413.4
S00000108,6016032.0,3008016.0,3008016.0,4211222.4,1804809.6,1203206.4,-1203206.4
S00000109,4550877.0,2275438.5,2275438.5,3185613.9,1365263.1,910175.4,-910175.4
S00000110,783900.0,391950.0,391950.0,548730.0,235170.0,156780.0,-156780.0
S00000111,33831189.0,16915594.5,16915594.5,23681832.3,10149356.7,6766237.8,-6766237.8
S00000112,2813000.0,1406500.0,1406500.0,1969100.0,843900.0,562600.0,-562600.0
S00000113,1247400.0,623700.0,623700.0,873180.0,374220.0,249480.0,-249480.0
S00000114,13944168.0,6972084.0,6972084.0,9760917.6,4183250.4,2788833.6,-2788833.6
S00000115,4275000.0,2137500.0,2137500.0,2992500.0,1282500.0,855000.0,-855000.0
S00000116,533000.0,266500.0,266500.0,373100.0,159900.0,106600.0,-106600.0
S00000117,9440000.0,4720000.0,4720000.0,6608000.0,2832000.0,1888000.0,-1888000.0
S00000118,321200.0,160600.0,160600.0,224840.0,96360.0,64240.0,-64240.0
S00000119,9151857.0,4575928.5,4575928.5,6406299.9,2745557.1,1830371.4,-1830371.4
S00000120,1220800.0,610400.0,610400.0,854560.0,366240.0,244160.0,-244160.0
S00000121,482600.0,241300.0,241300.0,337820.0,144780.0,96520.0,-96520.0
S00000122,40560000.0,20280000.0,20280000.0,28392000.0,12168000.0,8112000.0,-8112000.0
S00000123,2718900.0,1359450.0,1359450.0,1903230.0,815670.0,543780.0,-543780.0
S00000124,732600.0,366300.0,366300.0,512820.0,219780.0,146520.0,-146520.0
S00000125,22176000.0,11088000.0,11088000.0,15523200.0,6652800.0,4435200.0,-4435200.0
S00000126,2331200.0,1165600.0,1165600.0,1631840.0,699360.0,466240.0,-466240.0
S00000127,2577700.0,1288850.0,1288850.0,1804390.0,773310.0,515540.0,-515540.0
S00000128,23124123.0,11562061.5,11562061.5,16186886.1,6937236.9,4624824.6,-4624824.6
S00000129,277300.0,138650.0,138650.0,194110.0,83190.0,55460.0,-55460.0
S00000130,37627197.0,18813598.5,18813598.5,26339037.9,11288159.1,7525439.4,-7525439.4
S00000131,4475025.0,2237512.5,2237512.5,3132517.5,1342507.5,895005.0,-895005.0
S00000132,1823600.0,911800.0,911800.0,1276520.0,547080.0,364720.0,-364720.0
S00000133,2411100.0,1205550.0,1205550.0,1687770.0,723330.0,482220.0,-482220.0
S00000134,91000.0,45500.0,45500.0,63700.0,27300.0,18200.0,-18200.0
S00000135,210800.0,105400.0,105400.0,147560.0,63240.0,42160.0,-42160.0
S00000136,1148400.0,574200.0,574200.0,803880.0,344520.0,229680.0,-229680.0
S00000137,727600.0,363800.0,363800.0,509320.0,218280.0,145520.0,-145520.0
S00000138,1067000.0,533500.0,533500.0,746900.0,320100.0,213400.0,-213400.0
S00000139,3519945.0,1759972.5,1759972.5,2463961.5,1055983.5,703989.0,-703989.0
S00000140,893800.0,446900.0,446900.0,625660.0,268140.0,178760.0,-178760.0
S00000141,433200.0,216600.0,216600.0,303240.0,129960.0,86640.0,-86640.0
S00000142,608000.0,304000.0,304000.0,425600.0,182400.0,121600.0,-121600.0
S00000143,15639885.0,7819942.5,7819942.5,10947919.5,4691965.5,3127977.0,-3127977.0
S00000144,10672116.0,5336058.0,5336058.0,7470481.2,3201634.8,2134423.2,-2134423.2
S00000145,17892000.0,8946000.0,8946000.0,12524400.0,5367600.0,3578400.0,-3578400.0
S00000146,1372400.0,686200.0,686200.0,960680.0,411720.0,274480.0,-274480.0
S00000147,2076000.0,1038000.0,1038000.0,1453200.0,622800.0,415200.0,-415200.0
S00000148,3537600.0,1768800.0,1768800.0,2476320.0,1061280.0,707520.0,-707520.0
S00000149,3255912.0,1627956.0,1627956.0,2279138.4,976773.6,651182.4,-651182.4
S00000150,13561071.0,6780535.5,6780535.5,9492749.7,4068321.3,2712214.2,-2712214.2
S00000151,24523137.0,12261568.5,12261568.5,17166195.9,7356941.1,4904627.4,-4904627.4
S00000152,3061800.0,1530900.0,1530900.0,2143260.0,918540.0,612360.0,-612360.0
S00000153,1776600.0,888300.0,888300.0,1243620.0,532980.0,355320.0,-355320.0
S00000154,107100.0,53550.0,53550.0,74970.0,32130.0,21420.0,-21420.0
S00000155,415400.0,207700.0,207700.0,290780.0,124620.0,83080.0,-83080.0
S00000156,1693600.0,846800.0,846800.0,1185520.0,508080.0,338720.0,-338720.0
S00000157,34220000.0,17110000.0,17110000.0,23954000.0,10266000.0,6844000.0,-6844000.0
S00000158,6693000.0,3346500.0,3346500.0,4685100.0,2007900.0,1338600.0,-1338600.0
S00000159,586500.0,293250.0,293250.0,410550.0,175950.0,117300.0,-117300.0
S00000160,2114600.0,1057300.0,1057300.0,1480220.0,634380.0,422920.0,-422920.0
S00000161,1782000.0,891000.0,891000.0,1247400.0,534600.0,356400.0,-356400.0
S00000162,3444000.0,1722000.0,1722000.0,2410800.0,1033200.0,688800.0,-688800.0
S00000163,273600.0,136800.0,136800.0,191520.0,82080.0,54720.0,-54720.0
S00000164,15456168.0,7728084.0,7728084.0,10819317.6,4636850.4,3091233.6,-3091233.6
S00000165,15750000.0,7875000.0,7875000.0,11025000.0,4725000.0,3150000.0,-3150000.0
S00000166,338400.0,169200.0,169200.0,236880.0,101520.0,67680.0,-67680.0
S00000167,3381021.0,1690510.5,1690510.5,2366714.7,1014306.3,676204.2,-676204.2
S00000168,3336600.0,1668300.0,1668300.0,2335620.0,1000980.0,667320.0,-667320.0
S00000169,961974.0,480987.0,480987.0,673381.8,288592.2,192394.8,-192394.8
S00000170,31133163.0,15566581.5,15566581.5,21793214.1,9339948.9,6226632.6,-6226632.6
S00000171,14499081.0,7249540.5,7249540.5,10149356.7,4349724.3,2899816.2,-2899816.2
S00000172,3123400.0,1561700.0,1561700.0,2186380.0,937020.0,624680.0,-624680.0
S00000173,817800.0,408900.0,408900.0,572460.0,245340.0,163560.0,-163560.0
S00000174,785400.0,392700.0,392700.0,549780.0,235620.0,157080.0,-157080.0
S00000175,675800.0,337900.0,337900.0,473060.0,202740.0,135160.0,-135160.0
S00000176,150800.0,75400.0,75400.0,105560.0,45240.0,30160.0,-30160.0
S00000177,43424000.0,21712000.0,21712000.0,30396800.0,13027200.0,8684800.0,-8684800.0
S00000178,1204500.0,602250.0,602250.0,843150.0,361350.0,240900.0,-240900.0
S00000179,993600.0,496800.0,496800.0,695520.0,298080.0,198720.0,-198720.0
S00000180,446900.0,223450.0,223450.0,312830.0,134070.0,89380.0,-89380.0
S00000181,744800.0,372400.0,372400.0,521360.0,223440.0,148960.0,-148960.0
S00000182,3444000.0,1722000.0,1722000.0,2410800.0,1033200.0,688800.0,-688800.0
S00000183,19447857.0,9723928.5,9723928.5,13613499.9,5834357.1,3889571.4,-3889571.4
S00000184,1138500.0,569250.0,569250.0,796950.0,341550.0,227700.0,-227700.0
S00000185,1386000.0,693000.0,693000.0,970200.0,415800.0,277200.0,-277200.0
S00000186,1372400.0,686200.0,686200.0,960680.0,411720.0,274480.0,-274480.0
S00000187,2958300.0,1479150.0,1479150.0,2070810.0,887490.0,591660.0,-591660.0
S00000188,2331600.0,1165800.0,1165800.0,1632120.0,699480.0,466320.0,-466320.0
S00000189,441800.0,220900.0,220900.0,309260.0,132540.0,88360.0,-88360.0
S00000190,8786046.0,4393023.0,4393023.0,6150232.2,2635813.8,1757209.2,-1757209.2
S00000191,13962078.0,6981039.0,6981039.0,9773454.6,4188623.4,2792415.6,-2792415.6
S00000192,523800.0,261900.0,261900.0,366660.0,157140.0,104760.0,-104760.0
S00000193,9827892.0,4913946.0,4913946.0,6879524.4,2948367.6,1965578.4,-1965578.4
S00000194,214200.0,107100.0,107100.0,149940.0,64260.0,42840.0,-42840.0
S00000195,7524000.0,3762000.0,3762000.0,5266800.0,2257200.0,1504800.0,-1504800.0
S00000196,1189000.0,594500.0,594500.0,832300.0,356700.0,237800.0,-237800.0
S00000197,30444000.0,15222000.0,15222000.0,21310800.0,9133200.0,6088800.0,-6088800.0
S00000198,613200.0,306600.0,306600.0,429240.0,183960.0,122640.0,-122640.0
S00000199,2175966.0,1087983.0,1087983.0,1523176.2,652789.8,435193.2,-435193.2
S00000200,479600.0,239800.0,239800.0,335720.0,143880.0,95920.0,-95920.0
S00000201,2442000.0,1221000.0,1221000.0,1709400.0,732600.0,488400.0,-488400.0
S00000202,47190000.0,23595000.0,23595000.0,33033000.0,14157000.0,9438000.0,-9438000.0
S00000203,2291000.0,1145500.0,1145500.0,1603700.0,687300.0,458200.0,-458200.0
S00000204,1098900.0,549450.0,549450.0,769230.0,329670.0,219780.0,-219780.0
S00000205,23940000.0,11970000.0,11970000.0,16758000.0,7182000.0,4788000.0,-4788000.0
S00000206,2669600.0,1334800.0,1334800.0,1868720.0,800880.0,533920.0,-533920.0
S00000207,23184144.0,11592072.0,11592072.0,16228900.8,6955243.2,4636828.8,-4636828.8
S00000208,1065300.0,532650.0,532650.0,745710.0,319590.0,213060.0,-213060.0
S00000209,517000.0,258500.0,258500.0,361900.0,155100.0,103400.0,-103400.0
S00000210,19482102.0,9741051.0,9741051.0,13637471.4,5844630.6,3896420.4,-3896420.4
S00000211,699300.0,349650.0,349650.0,489510.0,209790.0,139860.0,-139860.0
S00000212,582000.0,291000.0,291000.0,407400.0,174600.0,116400.0,-116400.0
S00000213,2664900.0,1332450.0,1332450.0,1865430.0,799470.0,532980.0,-532980.0
S00000214,1992024.0,996012.0,996012.0,1394416.8,597607.2,398404.8,-398404.8
S00000215,10374000.0,5187000.0,5187000.0,7261800.0,3112200.0,2074800.0,-2074800.0
S00000216,1032400.0,516200.0,516200.0,722680.0,309720.0,206480.0,-206480.0
S00000217,46964000.0,23482000.0,23482000.0,32874800.0,14089200.0,9392800.0,-9392800.0
S00000218,474500.0,237250.0,237250.0,332150.0,142350.0,94900.0,-94900.0
S00000219,1373100.0,686550.0,686550.0,961170.0,411930.0,274620.0,-274620.0
S00000220,1983800.0,991900.0,991900.0,1388660.0,595140.0,396760.0,-396760.0
S00000221,72200.0,36100.0,36100.0,50540.0,21660.0,14440.0,-14440.0
S00000222,16380000.0,8190000.0,8190000.0,11466000.0,4914000.0,3276000.0,-3276000.0
S00000223,6935949.0,3467974.5,3467974.5,4855164.3,2080784.7,1387189.8,-1387189.8
S00000224,1009800.0,504900.0,504900.0,706860.0,302940.0,201960.0,-201960.0
S00000225,21168000.0,10584000.0,10584000.0,14817600.0,6350400.0,4233600.0,-4233600.0
S00000226,2331200.0,1165600.0,1165600.0,1631840.0,699360.0,466240.0,-466240.0
S00000227,7245045.0,3622522.5,3622522.5,5071531.5,2173513.5,1449009.0,-1449009.0
S00000228,3376800.0,1688400.0,1688400.0,2363760.0,1013040.0,675360.0,-675360.0
S00000229,385400.0,192700.0,192700.0,269780.0,115620.0,77080.0,-77080.0
S00000230,12415065.0,6207532.5,6207532.5,8690545.5,3724519.5,2483013.0,-2483013.0
S00000231,32936184.0,16468092.0,16468092.0,23055328.8,9880855.2,6587236.8,-6587236.8
S00000232,1215000.0,607500.0,607500.0,850500.0,364500.0,243000.0,-243000.0
S00000233,2256000.0,1128000.0,1128000.0,1579200.0,676800.0,451200.0,-451200.0
S00000234,7885095.0,3942547.5,3942547.5,5519566.5,2365528.5,1577019.0,-1577019.0
S00000235,1103600.0,551800.0,551800.0,772520.0,331080.0,220720.0,-220720.0
S00000236,123000.0,61500.0,61500.0,86100.0,36900.0,24600.0,-24600.0
S00000237,23128000.0,11564000.0,11564000.0,16189600.0,6938400.0,4625600.0,-4625600.0
S00000238,642400.0,321200.0,321200.0,449680.0,192720.0,128480.0,-128480.0
S00000239,986700.0,493350.0,493350.0,690690.0,296010.0,197340.0,-197340.0
S00000240,7474074.0,3737037.0,3737037.0,5231851.8,2242222.2,1494814.8,-1494814.8
S00000241,3003000.0,1501500.0,1501500.0,2102100.0,900900.0,600600.0,-600600.0
S00000242,2604000.0,1302000.0,1302000.0,1822800.0,781200.0,520800.0,-520800.0
S00000243,1812600.0,906300.0,906300.0,1268820.0,543780.0,362520.0,-362520.0
S00000244,11132121.0,5566060.5,5566060.5,7792484.7,3339636.3,2226424.2,-2226424.2
S00000245,21168000.0,10584000.0,10584000.0,14817600.0,6350400.0,4233600.0,-4233600.0
S00000246,1203200.0,601600.0,601600.0,842240.0,360960.0,240640.0,-240640.0
S00000247,27370170.0,13685085.0,13685085.0,19159119.0,8211051.0,5474034.0,-5474034.0
S00000248,15416082.0,7708041.0,7708041.0,10791257.4,4624824.6,3083216.4,-3083216.4
S00000249,3033918.0,1516959.0,1516959.0,2123742.6,910175.4,606783.6,-606783.6
S00000250,2854200.0,1427100.0,1427100.0,1997940.0,856260.0,570840.0,-570840.0
S00000251,34905195.0,17452597.5,17452597.5,24433636.5,10471558.5,6981039.0,-6981039.0
S00000252,2153400.0,1076700.0,1076700.0,1507380.0,646020.0,430680.0,-430680.0
S00000253,1079100.0,539550.0,539550.0,755370.0,323730.0,215820.0,-215820.0
S00000254,1404200.0,702100.0,702100.0,982940.0,421260.0,280840.0,-280840.0
S00000255,1116000.0,558000.0,558000.0,781200.0,334800.0,223200.0,-223200.0
S00000256,1229600.0,614800.0,614800.0,860720.0,368880.0,245920.0,-245920.0
S00000257,1948100.0,974050.0,974050.0,1363670.0,584430.0,389620.0,-389620.0
S00000258,1146100.0,573050.0,573050.0,802270.0,343830.0,229220.0,-229220.0
S00000259,9535851.0,4767925.5,4767925.5,6675095.7,2860755.3,1907170.2,-1907170.2
S00000260,697600.0,348800.0,348800.0,488320.0,209280.0,139520.0,-139520.0
S00000261,285000.0,142500.0,142500.0,199500.0,85500.0,57000.0,-57000.0
S00000262,2898000.0,1449000.0,1449000.0,2028600.0,869400.0,579600.0,-579600.0
S00000263,136800.0,68400.0,68400.0,95760.0,41040.0,27360.0,-27360.0
S00000264,89100.0,44550.0,44550.0,62370.0,26730.0,17820.0,-17820.0
S00000265,24444000.0,12222000.0,12222000.0,17110800.0,7333200.0,4888800.0,-4888800.0
S00000266,2368800.0,1184400.0,1184400.0,1658160.0,710640.0,473760.0,-473760.0
S00000267,5152032.0,2576016.0,2576016.0,3606422.4,1545609.6,1030406.4,-1030406.4
S00000268,2845900.0,1422950.0,1422950.0,1992130.0,853770.0,569180.0,-569180.0
S00000269,6343878.0,3171939.0,3171939.0,4440714.6,1903163.4,1268775.6,-1268775.6
S00000270,34380180.0,17190090.0,17190090.0,24066126.0,10314054.0,6876036.0,-6876036.0
S00000271,15573087.0,7786543.5,7786543.5,10901160.9,4671926.1,3114617.4,-3114617.4
S00000272,2705400.0,1352700.0,1352700.0,1893780.0,811620.0,541080.0,-541080.0
S00000273,1706100.0,853050.0,853050.0,1194270.0,511830.0,341220.0,-341220.0
S00000274,2189600.0,1094800.0,1094800.0,1532720.0,656880.0,437920.0,-437920.0
S00000275,390600.0,195300.0,195300.0,273420.0,117180.0,78120.0,-78120.0
S00000276,14515809.0,7257904.5,7257904.5,10161066.3,4354742.7,2903161.8,-2903161.8
S00000277,41300000.0,20650000.0,20650000.0,28910000.0,12390000.0,8260000.0,-8260000.0
S00000278,160600.0,80300.0,80300.0,112420.0,48180.0,32120.0,-32120.0
S00000279,200100.0,100050.0,100050.0,140070.0,60030.0,40020.0,-40020.0
S00000280,1689500.0,844750.0,844750.0,1182650.0,506850.0,337900.0,-337900.0
S00000281,3630000.0,1815000.0,1815000.0,2541000.0,1089000.0,726000.0,-726000.0
S00000282,14364000.0,7182000.0,7182000.0,10054800.0,4309200.0,2872800.0,-2872800.0
S00000283,12919905.0,6459952.5,6459952.5,9043933.5,3875971.5,2583981.0,-2583981.0
S00000284,2335500.0,1167750.0,1167750.0,1634850.0,700650.0,467100.0,-467100.0
S00000285,18522000.0,9261000.0,9261000.0,12965400.0,5556600.0,3704400.0,-3704400.0
S00000286,1165600.0,582800.0,582800.0,815920.0,349680.0,233120.0,-233120.0
S00000287,3148600.0,1574300.0,1574300.0,2204020.0,944580.0,629720.0,-629720.0
S00000288,2741600.0,1370800.0,1370800.0,1919120.0,822480.0,548320.0,-548320.0
S00000289,239700.0,119850.0,119850.0,167790.0,71910.0,47940.0,-47940.0
S00000290,2150700.0,1075350.0,1075350.0,1505490.0,645210.0,430140.0,-430140.0
S00000291,2646000.0,1323000.0,1323000.0,1852200.0,793800.0,529200.0,-529200.0
S00000292,6794955.0,3397477.5,3397477.5,4756468.5,2038486.5,1358991.0,-1358991.0
S00000293,2115000.0,1057500.0,1057500.0,1480500.0,634500.0,423000.0,-423000.0
S00000294,409500.0,204750.0,204750.0,286650.0,122850.0,81900.0,-81900.0
S00000295,1078800.0,539400.0,539400.0,755160.0,323640.0,215760.0,-215760.0
S00000296,858400.0,429200.0,429200.0,600880.0,257520.0,171680.0,-171680.0
S00000297,2461000.0,1230500.0,1230500.0,1722700.0,738300.0,492200.0,-492200.0
S00000298,8051000.0,4025500.0,4025500.0,5635700.0,2415300.0,1610200.0,-1610200.0
S00000299,383994.0,191997.0,191997.0,268795.8,115198.2,76798.8,-76798.8
S00000300,763000.0,381500.0,381500.0,534100.0,228900.0,152600.0,-152600.0
S00000301,744800.0,372400.0,372400.0,521360.0,223440.0,148960.0,-148960.0
S00000302,5922000.0,2961000.0,2961000.0,4145400.0,1776600.0,1184400.0,-1184400.0
S00000303,1624500.0,812250.0,812250.0,1137150.0,487350.0,324900.0,-324900.0
S00000304,121500.0,60750.0,60750.0,85050.0,36450.0,24300.0,-24300.0
S00000305,14364000.0,7182000.0,7182000.0,10054800.0,4309200.0,2872800.0,-2872800.0
S00000306,2086800.0,1043400.0,1043400.0,1460760.0,626040.0,417360.0,-417360.0
S00000307,7728048.0,3864024.0,3864024.0,5409633.6,2318414.4,1545609.6,-1545609.6
S00000308,34028181.0,17014090.5,17014090.5,23819726.7,10208454.3,6805636.2,-6805636.2
S00000309,545200.0,272600.0,272600.0,381640.0,163560.0,109040.0,-109040.0
S00000310,20246106.0,10123053.0,10123053.0,14172274.2,6073831.8,4049221.2,-4049221.2
